ID,Name,Position,Company,Industry,Location,Company Size,Category,Price Range,Timeline,Review Summary,Rating,Review Date,Data Source
41,Yordan Merakov,CEO,Power Drone ltd.,Utilities,Bulgaria,1-10 Employees,"AI Development, Custom Software Development","$50,000 to $199,999",Sep. 2021 - Ongoing,Dreamix has designed and developed a custom digital platform for a drone inspection company. The team has created a Python-based solution that combines computer vision models and algorithms for GPS coordinates.,5,,Clutch
42,Juan Lopez Gonzalez,Section Leader of the Platforms Product,CERN,Research,Switzerland,"1,001-5,000 Employees",Custom Software Development,"$200,000 to $999,999",Jan. 2023 - Ongoing,"Dreamix has upgraded a nuclear research firm's role-based access control system. They've revamped the architecture using React and Java, replaced the APEX UI, and migrated a portion of the core logic to Java.",5,,Clutch
43,Oliver Ulrich,CEO,proxeedo IT Solutions GmbH,Information technology,Germany,1-10 Employees,"BI & Big Data Consulting & SI, Custom Software Development, UX/UI Design",Confidential,June 2022 - Ongoing,"Dreamix has built, coded, and designed data front- and backend applications for an IT services company using Angular, React.js, Java, and Kotlin. The team has also developed APIs and created the UI/UX designs.",5,,Clutch
44,Graham Cunningham,Director of EMEA,"Heirloom Computing, Inc.",IT Services,Switzerland,11-50 Employees,Custom Software Development,Confidential,July 2019 - Ongoing,"Dreamix supplied high-quality development resources to expand on an existing core compiler software. They worked within an established product roadmap, using Jenkins, Makefiles, Python, PHP, and more.",5,,Clutch
45,Martijn Burger,CEO,Paston Solutions BV,Information technology,Netherlands,1-10 Employees,Custom Software Development,"$200,000 to $999,999",June 2018 - Ongoing,"Dreamix developed a policy migration, conversion, and quality improvement software for an information technology company. The platform had to be adjustable to consumers' needs and track all edits made.",5,,Clutch
46,Martin Andonov,CFO,MSJ International,"Supply Chain, Logistics, and Transport",District of Columbia,11-50 Employees,"AI Development, Custom Software Development","$50,000 to $199,999",Mar. - July 2025,"Dreamix developed an RFQ management system for a wholesale distributor. The team set up the frontend cloud interface and all backend infrastructure, mapped customer formats, and implemented an AI model.",5,,Clutch
47,Vishal Mallick,Manager,Performance Buildings AG,Real estate,Switzerland,11-50 Employees,"Custom Software Development, UX/UI Design","$200,000 to $999,999",Jan. 2023 - Ongoing,"Dreamix provides software development and design for a building technology company. The team has built self-contained components for access control, parking management, video intercom, and e-commerce platforms.",5,,Clutch
48,Ivaylo Georgiev,IT Manager,EMKA JSC,Manufacturing,Bulgaria,201-500 Employees,"API Development, Custom Software Development",Confidential,Jan. 2020 - Ongoing,Dreamix has developed a custom Manufacturing Execution System (MES) for a cable manufacturer. The team has integrated the solution with the client's API and helped them set up their servers and architecture.,5,,Clutch
49,Ivaylo Ralenekov,Managing Director,SCHOELLY OPTIX OOD,Manufacturing,Bulgaria,51-200 Employees,"Custom Software Development, UX/UI Design",Confidential,June 2022 - Mar. 2024,Dreamix developed an HD endoscope manufacturer's internal web system for automated production QC. They designed the web interface and integrated hardware cameras for image capturing.,5,,Clutch
50,Oliver McKenna,Board Member,MyComplianceOffice,Software,Ireland,201-500 Employees,Custom Software Development,Confidential,Jan. 2017 - Ongoing,"Dreamix has provided staff augmentation services for a compliance management company. They have offered candidates that are skilled in analysis, design, Java, Angular, and Oracle.",4.5,,Clutch
51,Angel Panov,Head of IT,Healthcare Company,Healthcare,United Arab Emirates,51-200 Employees,Custom Software Development,"$200,000 to $999,999",Apr. 2020 - June 2023,"A healthcare company has hired Dreamix to build their custom software. They have overseen the project's entire development, including QA, UX/UI design, and development.",5,,Clutch
52,Roman Ernst,Head of Global Product & Managing Director,Axxiome,Software,Switzerland,51-200 Employees,IT Staff Augmentation,Confidential,Jan. 2021 - Ongoing,"Dreamix has augmented a financial solution company's development team. They've deployed developers who work on various areas of the platform, including digital banking processes, payments, and accounts.",5,,Clutch
53,Tayo Dada,CEO,Bonsai Technology,Software,United Kingdom,1-10 Employees,"Mobile App Development, UX/UI Design, Web Development",Confidential,Jan. 2022 - Sep. 2024,"CoDev has developed a Flutter mobile app and a web app for a software company. The team has used React, designed the UX/UI, and integrated AWS.",4,,Clutch
54,Mo Ali Yusuf,CEO,Fuze,Financial services,United Arab Emirates,11-50 Employees,Custom Software Development,"$50,000 to $199,999",Mar. - Sep. 2025,"UplineSoft developed a digital asset management platform for a digital asset infrastructure firm. They created a secure backend, integrated APIs and financial tools, and built MENA-specified compliance modules.",5,,Clutch
55,Luis Rollo,CEO,SOMMA IT,IT Services,Brazil,51-200 Employees,Custom Software Development,"$50,000 to $199,999",Feb. - Aug. 2025,"UplineSoft developed a custom software solution for an IT solutions company. The team added a client portal, automated workflow management, resource allocation tools, analytics dashboards, and access controls.",5,,Clutch
56,Alex Perry,CEO,Nuffield Health,Healthcare,United Kingdom,"10,001+ Employees","Custom Software Development, IT Staff Augmentation","$50,000 to $199,999",Nov. 2024 - June 2025,"UplineSoft provided staff augmentation for a health and wellness company. The team redesigned the client's patient portal, converted legacy systems to contemporary FHIR APIs, and set up deployment pipelines.",5,,Clutch
57,Amy Whitell,CEO & Co-Founder,Collctiv,Financial services,United Kingdom,11-50 Employees,"Custom Software Development, IT Staff Augmentation","$50,000 to $199,999",Oct. 2024 - May 2025,A financial technology company hired UplineSoft to provide resources to augment their internal development teams. These resources assisted the client with all their platform's operational and technical needs.,5,,Clutch
58,Carlos Rodríguez Antón,CTO & Co-Founder,Goin,Financial services,Spain,11-50 Employees,"API Development, Blockchain","$50,000 to $199,999",July 2023 - July 2024,UplineSoft developed a web app for a financial services company. The team implemented a trading system with Solidity and created smart contracts with Python.,5,,Clutch
59,Simon Van dyk,CTO,Wealthbit,Financial services,United Kingdom,1-10 Employees,"Custom Software Development, IT Staff Augmentation","$10,000 to $49,999",Apr. - Aug. 2025,"UplineSoft deployed front- and backend developers and QA testers to assist a fintech firm in their software development project. They enhanced data encryption, improved UI/UX, and led compliance checks.",5,,Clutch
60,Jamie Cookie,Managing Director,Fscom,Financial services,United Kingdom,11-50 Employees,"Custom Software Development, IT Staff Augmentation","$50,000 to $199,999",Dec. 2024 - May 2025,UplineSoft provided custom software development services for a risk and compliance consulting firm. The team developed a client portal with security features and built automated compliance checkers.,5,,Clutch
61,Igor Demishev,Co-Founder,Cloud Retail,IT Services,United Kingdom,11-50 Employees,"Application Testing, E-Commerce Development, IT Staff Augmentation",Confidential,June - Nov. 2023,UplineSoft provided staff augmentation services for an e-commerce solutions company. The team was hired to help strengthen the client's in-house team.,5,,Clutch
62,Nancy D,Business Director,FinTech Company,IT Services,Vietnam,11-50 Employees,"Custom Software Development, IT Staff Augmentation","$50,000 to $199,999",Aug. 2024 - Ongoing,"InApps Technology has developed and deployed a digital financial platform for a fintech company. The team has built web and mobile apps, integrated third-party APIs, and ensured regulatory compliance.",5,,Clutch
63,Bui Kelly,CEO,vitX,IT Services,Vietnam,11-50 Employees,IT Staff Augmentation,"$50,000 to $199,999",June 2025 - Ongoing,An IT services company has hired InApps Technology to provide resources to augment their internal development team. These resources provide technical support and handle hardware and software troubleshooting.,5,,Clutch
64,Emrah Erk,General Manager,Pegas Vietnam Travel Co. Ltd.,Hospitality & leisure,Vietnam,51-200 Employees,Mobile App Development,"$10,000 to $49,999",Aug. 2020 - Oct. 2021,InApps Technology developed a mobile app for a tour operating company. They were tasked with connecting the app with two of the client's main software via API integration.,5,,Clutch
65,Ken Heini,CEO,EZtek,IT Services,Vietnam,11-50 Employees,Web Development,"$10,000 to $49,999",Aug. 2020 - Ongoing,A software solutions company partners with InApps Technology to fix and develop a project that failed from the previous developer. The goals are to resolve the bugs and messy coding as soon as possible.,5,,Clutch
66,Glen Pearce,Co-founder,RedFOX Labs,IT Services,Vietnam,1-10 Employees,Mobile App Development,"$10,000 to $49,999",Nov. 2019 - Feb. 2020,InApps Technology provided iOS and Android app development based on provided wireframes and software specifications.,5,,Clutch
67,Zek Tran,Tech Lead,One Planet Solution,Software,Austria,11-50 Employees,"Application Testing, Web Development",Confidential,Nov. 2023 - Ongoing,"InApps Technology provides app development and testing services for an IoT software company. The team conducts manual and automated testing, builds charts using TypeScript, and handles frontend development.",5,,Clutch
68,Margo Flanagan,Director,Two Raw Sisters,Wellness & Fitness,New Zealand,1-10 Employees,"API Development, Application Management & Support, Mobile App Development","$10,000 to $49,999",Aug. 2025 - Ongoing,InApps Technology has developed a web and mobile app for a food and beverage company. The team has built a dedicated search service on AWS alongside the existing DatoCMS content system.,5,,Clutch
69,Nancy Dao,Business Director,IT Consulting Company,IT Services,Australia,11-50 Employees,"Custom Software Development, IT Staff Augmentation","$50,000 to $199,999",Sep. 2024 - Aug. 2025,InApps Technology provided custom software development services for an IT consulting company. The team developed a digital solution for launching and managing a new insurance product.,5,,Clutch
70,Sunny Nguyen,BizDev Lead,GIANTY Vietnam,Gaming,Vietnam,201-500 Employees,"Custom Software Development, IT Staff Augmentation",Confidential,June 2023 - Feb. 2024,"InApps Technology developed a backend solution for an entertainment technology company. The team used Node.js, PostgreSQL, and Redis to build the solution. They also set up auto-scaling and monitoring tools.",5,,Clutch
71,Filip Klementsson,Co-Founder & CPO,Coly,Real estate,Sweden,1-10 Employees,"HR Consulting, IT Staff Augmentation","$50,000 to $199,999",Feb. 2022 - Ongoing,Beetroot AB has supplied IT resources to a technology startup to build the foundation of their SaaS co-living platform. They’ve been responsible for sourcing candidates and facilitating interviews.,5,,Clutch
72,Will Tan,CEO,Bizdev International,Consulting,Vietnam,11-50 Employees,IT Staff Augmentation,"Less than $10,000",Dec. 2023 - May 2024,InApps Technology provided IT resources for a software development project. The client was a business consultation firm.,5,,Clutch
73,Apple Ng,CEO,Digital Solutions Company,Information technology,Singapore,1-10 Employees,"Custom Software Development, Web Development",Confidential,Sep. 2023 - Jan. 2024,A digital solutions company hired InApps Technology for web and custom software development. The team was tasked with building a bot and the consumer-facing part of a website.,5,,Clutch
74,Decae Law,Operation Manager,Simbans,Other Industry,Hong Kong,1-10 Employees,Mobile App Development,"$10,000 to $49,999",Apr. - June 2023,InApps Technology designed an educational mobile app for a drawing tablet company. The goal was to deliver an engaging app for the client's target audience — teenagers in Europe.,5,,Clutch
75,Markku Korhonen,CEO,Rinki Entertainment Oy,"Arts, entertainment & music",Finland,1-10 Employees,Mobile App Development,"$50,000 to $199,999",Apr. 2022 - Ongoing,"InApps Technology has developed a mobile gaming app for a trivia gaming startup. After being provided with documents and designs, they handle the project scheduling, development, and management.",5,,Clutch
76,Alvin Kuah,Business Technology Director,Alexis Alliance Pte Ltd,Education,Singapore,1-10 Employees,Mobile App Development,"$10,000 to $49,999",Oct. 2021 - June 2022,InApps Technology provides mobile app development services for an educational technology firm. They were hired for this project based on their skillset and integrity as a company.,5,,Clutch
77,Najim El Mouridi,General Manager,INCONTO,Software,Netherlands,11-50 Employees,"IT Staff Augmentation, Web Development",Unspecified,July 2014 - Ongoing,Global Brainforce has provided staff augmentation services for a B2B purchasing management software company for over 10 years. A team of developers and testers collaborates with the client on various projects.,4,,Clutch
78,Bas Korporaal,Director,ProtoLogic B.V.,IT Services,Netherlands,11-50 Employees,"Custom Software Development, IT Staff Augmentation","$50,000 to $199,999",Mar. 2021 - Ongoing,"Global BrainForce provides staff augmentation services for a software development company. The team works on an end client's app based in .NET, using Visual Studio and Microsoft SQL Server Management Studio.",5,,Clutch
79,Rob Langendijk,CTO,miscea GmbH,Medical,Germany,11-50 Employees,Custom Software Development,Confidential,Apr. 2020 - Ongoing,Global BrainForce has developed electronics and firmware for a touch-free water tap systems cmpany. They've also developed a web-based application to monitor a network of taps.,4.5,,Clutch
80,Federico Hardziej,CEO,IT Patagonia,IT Services,Argentina,51-200 Employees,IT Staff Augmentation,"$10,000 to $49,999",Jan. 2020 - Ongoing,Qadvance provides staff augmentation services to an IT services firm. They provide resources that work directly with the client.,4,,Clutch
81,Martin Castenetto,Director,Silogik,Software,Mexico,11-50 Employees,Staffing,Confidential,Oct. 2024 - Sep. 2025,Qadvance provided staff augmentation for a software development company. The team helped with software testing.,5,,Clutch
82,Javier Alfaro,Co-Founder,TechBite,Software,Costa Rica,1-10 Employees,IT Staff Augmentation,Confidential,Aug. 2023 - Ongoing,"A software development firm has tapped Qadvance to augment their internal development teams. These resources help develop custom software, create financial forecasts, and automate various internal processes.",4,,Clutch
83,Javier Alfaro,Co-Founder,TechBite,Software,Costa Rica,1-10 Employees,IT Staff Augmentation,Confidential,Aug. 2023 - Ongoing,"A software development firm has tapped Qadvance to augment their internal development teams. These resources help develop custom software, create financial forecasts, and automate various internal processes.",4,,Clutch
84,André Belmonte,Head of Digital Operating Center,DiRWA LATAM,IT Services,Mexico,51-200 Employees,IT Staff Augmentation,"Less than $10,000",Feb. 2021 - Ongoing,Qadvance provides staff augmentation services for an IT services company. They bestow their best resources to work with flexible hours.,4,,Clutch
85,Paul Cohen,Senior Partner & Consultant,Seibo Software Studios AB,Information technology,Sweden,1-10 Employees,Custom Software Development,"$10,000 to $49,999",June 2015 - Ongoing,"Sophilabs is providing software development services for a software consulting company. They work on software architecture, UX, software design, programming, and testing.",4,,Clutch
86,Rodrigo Bedoya,Co-Founder & Executive Chairman,La Grama,Other Industry,Peru,11-50 Employees,Custom Software Development,"$50,000 to $199,999",Dec. 2019 - Ongoing,Tekton Labs conceived of and developed a production plant management software. They've also delivered a new website and enhanced digitization across the entire company.,5,,Clutch
87,Irma Sheen,Digital Marketing Manager,Pacífico Perù,Financial services,Peru,"1,001-5,000 Employees",Custom Software Development,"$200,000 to $999,999",Apr. 2021 - Ongoing,"In a longterm engagement, the team at Tekton Labs provides ongoing development services for an insurance company. They developed a PHP platform to manage client information. The team uses an agile methodology.",4.5,,Clutch
88,Claudia Chiclayo,IT Manager,Sky Airline,Manufacturing,Peru,"1,001-5,000 Employees",Web Development,"$10,000 to $49,999",Jan. 2019 - Ongoing,"Tekton Labs built a sales portal for a regional airline focused on government entities. They used an existing codebase, developed in Node.js, and created cloud-based environments.",5,,Clutch
89,Martin Riofrio,CEO,Takay,Construction,Peru,11-50 Employees,Web Development,"$50,000 to $199,999",Jan. 2020 - Ongoing,"Tekton Labs developed a platform for a construction company that helps independent foremen professionally manage building projects and share progress with customers in a formal, digital, and transparent way.",5,,Clutch
90,Sergio Jaramillo Mejía,CEO,FA$IL,Financial services,Colombia,11-50 Employees,"Application Management & Support, Architectural Design, Blockchain, Custom Software Development, IT Staff Augmentation, IT Strategy Consulting, Mobile App Development, Other Application Development, UX/UI Design, Web Design, Web Development","$50,000 to $199,999",Jan. 2022 - Ongoing,"Activeone has developed blockchain-based software for a fintech company. They've built the platform's front- and backend, tested the software, and deployed it. They also provide daily operational support.",5,,Clutch
91,Julian Delgado,CTO,Zulu,Financial services,Colombia,11-50 Employees,Custom Software Development,"Less than $10,000",Feb. - June 2025,Activeone developed a crypto buy and sell API for a cross-border payment solutions company. The team also built a management dashboard and connected the API to an exchange.,4.5,,Clutch
92,Ana Lucía Arango Toro,Communications Coordinator,FISE,Electric,Colombia,1-10 Employees,Mobile App Development,"$10,000 to $49,999",Feb. 2020 - May 2021,"Activeone developed a web and mobile app for an event management company. The platform allowed the management of fair participants, event entry registration via QR codes, and more.",5,,Clutch
93,Olena Ermolenko,Senior Communication Expert,Association4U,Consulting,Ukraine,11-50 Employees,"Other IT Consulting and SI, Web Development","Less than $10,000",Nov. 2024 - July 2025,"Implex provided web development services for a consulting company. The team conducted a web assessment, fixed bugs, and made functionality changes and adjustments to the client's existing WordPress website.",5,,Clutch
94,Nick P.,Founder,360mind,Software,Estonia,1-10 Employees,"Custom Software Development, IT Staff Augmentation, Web Development",Confidential,Apr. - Aug. 2024,"Implex provides development services for a software company. The team continues to develop an online course platform, adding Microsoft Entra External ID-powered accounts, improving the UI, and fixing bugs.",5,,Clutch
95,Vitaliy Istushkin,CEO & Co-Founder,SOFT EDGE Sp. z o.o.,Information technology,Poland,1-10 Employees,"IT Staff Augmentation, Mobile App Development, Other IT Consulting and SI","$10,000 to $49,999",Oct. 2023 - Ongoing,Implex has deployed QA engineers to help a technology startup build BAU and release processes. They've also ported the client's iOS app to Android and built CI/CD processes for their product range.,5,,Clutch
